Doctor Name,Specialization,Education,Experience,Certifications,Hospital Name
Joel Anderson,Orthopedics,DO from Rodriguez-Harper,5,Board Certified in Orthopedics,Palmer-Roach
Janice Hurley,Cardiology,MD from Brandt-Rogers,19,Board Certified in Orthopedics,"Parker, Middleton and Dixon"
Cindy Hill,Orthopedics,"MD from Anderson, Ramirez and Bush",23,Board Certified in Orthopedics,"Parker, Middleton and Dixon"
Carla Henson,Cardiology,MD from Jackson-Wade,10,Board Certified in Cardiology,"Parker, Middleton and Dixon"
Karen Coleman,Cardiology,MD from Clements-Lewis,22,Board Certified in Orthopedics,"Parker, Middleton and Dixon"
Andres Myers,Neurology,MD from Campbell-Wang,7,Board Certified in Orthopedics,"Parker, Middleton and Dixon"
Ann Hurst,Cardiology,DO from Molina-Perez,4,Board Certified in Cardiology,Moore-Jones
Michael Wilson,Neurology,DO from Gray-Garcia,20,Board Certified in Orthopedics,Moore-Jones
Regina Lee,Orthopedics,DO from Mcdonald-Morales,1,Board Certified in Orthopedics,Moore-Jones
David Warren,Cardiology,"MD from White, Santos and Combs",30,Board Certified in Cardiology,Moore-Jones
Lauren Williams,Cardiology,DO from Santiago PLC,15,Board Certified in Neurology,Moore-Jones
Joshua Kim,Neurology,MD from Lucas Ltd,10,Board Certified in Orthopedics,Moore-Jones
Brianna Waters,Cardiology,DO from Lee-Blake,20,Board Certified in Cardiology,Moore-Jones
Kimberly Palmer,Neurology,"MD from Snyder, Smith and Wilson",4,Board Certified in Cardiology,Moore-Jones
Louis Scott,Cardiology,MD from Mcclure-Hamilton,10,Board Certified in Neurology,Briggs and Sons
Gary Graham Jr.,Neurology,"MD from Lewis, Ryan and Davis",15,Board Certified in Neurology,Briggs and Sons
Emily Mcgrath,Orthopedics,MD from Williams-Frazier,18,Board Certified in Orthopedics,Briggs and Sons
Mariah Ward,Neurology,DO from Franklin-Smith,24,Board Certified in Neurology,Briggs and Sons
Antonio Carter,Neurology,MD from Romero-Vasquez,2,Board Certified in Cardiology,Briggs and Sons
Deanna Sanchez,Cardiology,DO from Beard-Reed,7,Board Certified in Orthopedics,Lee-Riley
Henry Moore,Neurology,"MD from Wolfe, Cox and Wallace",22,Board Certified in Neurology,Lee-Riley
Jessica Grant,Neurology,"DO from Erickson, Johnson and Murray",4,Board Certified in Neurology,Lee-Riley
Cody Myers,Cardiology,DO from Bennett and Sons,7,Board Certified in Orthopedics,Lee-Riley
Mr. Brian Blackburn,Orthopedics,"DO from Chen, Keller and Lin",11,Board Certified in Neurology,Lee-Riley
Timothy Graves,Orthopedics,"DO from Phillips, May and Carpenter",11,Board Certified in Orthopedics,Lee-Riley
Sarah Wagner,Cardiology,DO from Vance-Carter,18,Board Certified in Cardiology,Lee-Riley
Misty Williams,Orthopedics,"MD from Carroll, Ortiz and Frederick",10,Board Certified in Cardiology,Lee-Riley
Tina Rogers,Orthopedics,DO from Hahn Inc,5,Board Certified in Neurology,Lee-Riley
Brenda Martinez,Orthopedics,DO from Drake-Duncan,6,Board Certified in Neurology,Lee-Riley
Kelsey Thompson,Orthopedics,DO from Williams-Gross,19,Board Certified in Orthopedics,Lee-Riley
Heather Jones,Orthopedics,DO from Bell-Santiago,15,Board Certified in Neurology,Lee-Riley
Kellie Haney,Cardiology,"DO from Thomas, Shields and Petersen",29,Board Certified in Cardiology,Lee-Riley
Michael Kent,Orthopedics,"MD from Gallagher, Johnson and Burns",2,Board Certified in Orthopedics,Lee-Riley
Paul Jones,Cardiology,DO from Thompson-Gutierrez,14,Board Certified in Orthopedics,Lee-Riley
James Grant,Cardiology,MD from Henry Group,14,Board Certified in Cardiology,Tran-Martin
Sharon Cooper,Cardiology,MD from Anderson Group,17,Board Certified in Orthopedics,Tran-Martin
Rachel Joseph,Orthopedics,DO from Yates-Davis,24,Board Certified in Cardiology,Tran-Martin
Erin Peterson MD,Cardiology,DO from Mitchell and Sons,8,Board Certified in Orthopedics,Tran-Martin
Christina Richardson,Cardiology,"DO from Alexander, Barton and Hernandez",23,Board Certified in Cardiology,Tran-Martin
Julia Herrera,Neurology,DO from Clements LLC,5,Board Certified in Cardiology,Tran-Martin
Justin Thompson,Cardiology,MD from Lara-Melendez,5,Board Certified in Cardiology,Tran-Martin
Jeremy Lozano,Cardiology,"MD from Sims, Warren and Parks",29,Board Certified in Neurology,Tran-Martin
Melissa Grant,Orthopedics,MD from Kennedy-Bruce,22,Board Certified in Orthopedics,Tran-Martin
Denise Beck,Orthopedics,"DO from Lindsey, Ward and Ford",4,Board Certified in Cardiology,Tran-Martin
Mallory Scott DVM,Neurology,MD from Henson-Mercer,27,Board Certified in Orthopedics,Young-Davis
Logan Williams,Cardiology,MD from Santiago and Sons,14,Board Certified in Orthopedics,Young-Davis
Brian Barnes,Orthopedics,"DO from Burgess, Wilson and Brady",20,Board Certified in Neurology,Young-Davis
Richard Garcia,Orthopedics,MD from Hall LLC,20,Board Certified in Neurology,Young-Davis
Jennifer Scott,Neurology,DO from Hicks Ltd,22,Board Certified in Cardiology,Young-Davis
Vanessa Schmitt,Cardiology,"DO from Wolf, Vincent and Figueroa",7,Board Certified in Orthopedics,Young-Davis
Stephanie Tucker,Orthopedics,"DO from Watkins, Silva and Anderson",9,Board Certified in Orthopedics,Young-Davis
Fernando Gould,Neurology,MD from Pearson-Johnston,24,Board Certified in Orthopedics,Young-Davis
Melinda Saunders,Orthopedics,MD from Gillespie-Taylor,24,Board Certified in Orthopedics,Young-Davis
Steve Baker,Orthopedics,MD from Hess and Sons,5,Board Certified in Cardiology,Young-Davis
Justin Holmes,Cardiology,DO from Pruitt and Sons,5,Board Certified in Cardiology,Young-Davis
Michael Harris,Orthopedics,DO from Green-Luna,22,Board Certified in Cardiology,Young-Davis
Nicole Jones MD,Orthopedics,MD from Kelley and Sons,17,Board Certified in Cardiology,Beltran LLC
Mrs. Jessica Stephens MD,Cardiology,MD from Nicholson-Nguyen,21,Board Certified in Neurology,Beltran LLC
Susan Wilkins,Orthopedics,MD from Hall and Sons,19,Board Certified in Orthopedics,Beltran LLC
Traci Acevedo,Neurology,MD from Crane-Butler,27,Board Certified in Neurology,Beltran LLC
Tina Allen,Neurology,DO from Thomas-Thomas,26,Board Certified in Cardiology,Beltran LLC
Shaun Davis,Cardiology,"MD from Martinez, Bowman and Moore",21,Board Certified in Neurology,Green-Davis
Kyle Johnson,Orthopedics,MD from Kim-Williams,2,Board Certified in Orthopedics,Green-Davis
Emily Delacruz,Cardiology,"MD from Summers, Gonzalez and Diaz",5,Board Certified in Neurology,Green-Davis
Jay Swanson,Cardiology,"DO from Nichols, Berg and Jones",26,Board Certified in Neurology,Green-Davis
Shawna Gonzalez,Cardiology,"MD from Ward, Brown and Romero",13,Board Certified in Neurology,Green-Davis
Danny Clark,Neurology,"MD from Ellis, Rodriguez and Mckenzie",30,Board Certified in Neurology,Green-Davis
Keith Wade,Neurology,DO from Lopez PLC,4,Board Certified in Orthopedics,Green-Davis
Peggy Henry,Cardiology,DO from Young Group,13,Board Certified in Orthopedics,Green-Davis
Renee Burns,Orthopedics,MD from Green-Lopez,17,Board Certified in Orthopedics,Fox Group
Richard Brooks,Neurology,"MD from Cooper, Christensen and Cook",5,Board Certified in Neurology,Fox Group
Megan Mendoza,Orthopedics,"MD from Sanchez, Vega and Cole",5,Board Certified in Neurology,Fox Group
Travis Donovan,Cardiology,DO from Wise-Garcia,21,Board Certified in Orthopedics,Fox Group
Maria Mclaughlin,Orthopedics,DO from Hamilton-Gutierrez,10,Board Certified in Neurology,Fox Group
Madeline Hernandez,Neurology,MD from Olsen-Williams,2,Board Certified in Orthopedics,Fox Group
Hannah Jackson,Neurology,"MD from Jones, Pierce and Rogers",28,Board Certified in Cardiology,Fox Group
Jessica Brock,Neurology,MD from Orr-Wells,13,Board Certified in Orthopedics,Fox Group
Zachary Schwartz,Neurology,MD from Matthews Group,29,Board Certified in Cardiology,Fox Group
Monica Rowe,Neurology,"DO from Dillon, Griffin and Khan",12,Board Certified in Neurology,Fox Group
Jillian Carlson,Cardiology,DO from Carter-Mcbride,10,Board Certified in Cardiology,Fox Group
Christine Pennington DVM,Neurology,"MD from Johnson, Buck and Williams",26,Board Certified in Cardiology,Fox Group
Paul Johnson,Orthopedics,"DO from Boyd, Grant and Golden",24,Board Certified in Orthopedics,Fox Group
Connie Brown,Orthopedics,DO from Ballard-Franco,23,Board Certified in Orthopedics,Fox Group
Joel Morris,Cardiology,"MD from Gonzales, Mitchell and Blanchard",20,Board Certified in Orthopedics,Fox Group
Mrs. Sarah Anderson,Neurology,MD from Mitchell-Downs,12,Board Certified in Neurology,Long-Gray
Erin Bray,Cardiology,"DO from Galloway, Mills and Fernandez",19,Board Certified in Orthopedics,Long-Gray
Craig Williams,Orthopedics,"DO from Liu, Collins and Schmidt",22,Board Certified in Cardiology,Long-Gray
Lori Barrett,Orthopedics,"MD from Powers, Odom and Hernandez",9,Board Certified in Cardiology,Long-Gray
Steven Lewis,Orthopedics,"DO from Price, Miller and Ramirez",8,Board Certified in Neurology,Long-Gray
Nicholas Casey,Neurology,MD from Brown Ltd,29,Board Certified in Orthopedics,Long-Gray
Anthony Douglas,Neurology,"DO from Bryant, King and Dawson",20,Board Certified in Neurology,Long-Gray
Jeanne Scott,Cardiology,MD from Martinez-Martin,9,Board Certified in Orthopedics,Long-Gray
Rodney Ross,Neurology,"DO from Boyd, Whitehead and Lowery",6,Board Certified in Cardiology,Long-Gray
Hannah Kim,Neurology,MD from Castaneda Inc,1,Board Certified in Orthopedics,Ruiz and Sons
Cassidy Jones,Cardiology,MD from Miller PLC,11,Board Certified in Orthopedics,Ruiz and Sons
Dennis Anderson,Orthopedics,"DO from Gonzalez, Cunningham and Boyle",1,Board Certified in Orthopedics,Ruiz and Sons
Brandi Nguyen,Cardiology,DO from Edwards PLC,9,Board Certified in Cardiology,Ruiz and Sons
Christopher Hinton,Cardiology,"MD from Fletcher, Mccarthy and Simpson",10,Board Certified in Cardiology,Ruiz and Sons
Jacob Hughes,Cardiology,DO from Prince-Ellis,18,Board Certified in Neurology,Ruiz and Sons
Bradley Ward,Neurology,"MD from Lopez, Johnston and Doyle",21,Board Certified in Neurology,Ruiz and Sons
Alexis Clark,Neurology,DO from Bailey Inc,9,Board Certified in Orthopedics,Ruiz and Sons
Lisa Smith,Neurology,MD from Morgan Group,3,Board Certified in Neurology,Ruiz and Sons
Becky Hamilton,Neurology,DO from Turner PLC,1,Board Certified in Orthopedics,Murray Ltd
William Bolton,Orthopedics,DO from Wright-Webster,28,Board Certified in Orthopedics,Murray Ltd
Adam Garcia,Orthopedics,MD from Rodriguez-Webb,15,Board Certified in Orthopedics,Murray Ltd
Joseph Miller,Cardiology,MD from Smith-David,23,Board Certified in Orthopedics,Murray Ltd
Sandra Murphy,Orthopedics,DO from Nicholson-Wright,23,Board Certified in Cardiology,Murray Ltd
Diana Conner,Cardiology,MD from Thompson-Jackson,12,Board Certified in Cardiology,Murray Ltd
Robert Cook,Neurology,MD from Mcguire-Wong,8,Board Certified in Cardiology,Murray Ltd
Daisy Deleon,Cardiology,"DO from Ortiz, Thompson and Perez",15,Board Certified in Cardiology,Daniels-Combs
Jamie Dodson,Orthopedics,"DO from Hernandez, Gonzales and Lee",22,Board Certified in Neurology,Daniels-Combs
Tyrone Robinson,Neurology,MD from Pierce Group,13,Board Certified in Orthopedics,Daniels-Combs
John Smith,Neurology,MD from Ayala-Moreno,16,Board Certified in Cardiology,Daniels-Combs
James Williams,Neurology,MD from Reynolds-Garcia,20,Board Certified in Cardiology,Daniels-Combs
Bradley Mosley,Orthopedics,"MD from Clark, Douglas and Giles",11,Board Certified in Cardiology,Daniels-Combs
Ruben Campbell,Neurology,"DO from Scott, Mathews and Patterson",15,Board Certified in Cardiology,"Campos, Warren and Clark"
Elizabeth Alvarado,Cardiology,MD from Tran-Moody,3,Board Certified in Cardiology,"Campos, Warren and Clark"
Kenneth Calderon,Orthopedics,DO from Miller and Sons,6,Board Certified in Neurology,"Campos, Warren and Clark"
Jordan Cordova,Orthopedics,DO from Henry-Mitchell,18,Board Certified in Neurology,"Campos, Warren and Clark"
Chad Rowe,Cardiology,DO from Clark PLC,30,Board Certified in Neurology,"Campos, Warren and Clark"
Alexis Hooper,Orthopedics,MD from Stark-Allen,23,Board Certified in Cardiology,"Campos, Warren and Clark"
Daniel Contreras,Orthopedics,"MD from Cox, Lewis and Macias",30,Board Certified in Orthopedics,"Campos, Warren and Clark"
Lawrence Dorsey,Neurology,DO from Williams PLC,4,Board Certified in Neurology,"Campos, Warren and Clark"
Jeremy Wong,Neurology,MD from Howard-Cohen,12,Board Certified in Cardiology,"Campos, Warren and Clark"
Christina House,Orthopedics,MD from Ross-Robbins,20,Board Certified in Neurology,"Campos, Warren and Clark"
Dawn Miles,Neurology,DO from Miller Ltd,21,Board Certified in Cardiology,"Campos, Warren and Clark"
Nicholas Knight,Cardiology,MD from Gonzales-Long,8,Board Certified in Cardiology,"Campos, Warren and Clark"
Brandy Coleman,Neurology,DO from Dillon and Sons,9,Board Certified in Cardiology,"Campos, Warren and Clark"
Austin Robinson,Cardiology,DO from Novak-Perez,14,Board Certified in Neurology,Swanson Ltd
Mary Lee,Orthopedics,MD from Green-Alexander,1,Board Certified in Neurology,Swanson Ltd
Cesar Ortiz,Cardiology,"DO from Cantrell, Brooks and Jackson",21,Board Certified in Orthopedics,Swanson Ltd
Julie Lee,Neurology,DO from Johnson Group,30,Board Certified in Cardiology,Swanson Ltd
Marcus Jimenez,Cardiology,"MD from Green, Garza and Burgess",18,Board Certified in Neurology,Swanson Ltd
Monica Smith,Cardiology,DO from Thomas-Hall,26,Board Certified in Cardiology,Swanson Ltd
Denise Garcia,Neurology,"DO from Kramer, Oliver and Thomas",11,Board Certified in Orthopedics,Swanson Ltd
Jamie Newman,Cardiology,MD from Rocha-Adams,7,Board Certified in Cardiology,Swanson Ltd
Brian Koch,Neurology,DO from Kaufman-Anderson,26,Board Certified in Orthopedics,Swanson Ltd
Richard Kim,Cardiology,"MD from Baldwin, Morrow and Berry",9,Board Certified in Cardiology,Swanson Ltd
Dr. Lori Mejia,Cardiology,"MD from Ortiz, Yang and Byrd",10,Board Certified in Orthopedics,Swanson Ltd
Evan Sanchez,Orthopedics,MD from White Ltd,11,Board Certified in Cardiology,Johnson-Salazar
Hannah Turner,Cardiology,DO from George-Curry,21,Board Certified in Orthopedics,Johnson-Salazar
Catherine Mcdonald,Orthopedics,MD from Nelson-Hernandez,5,Board Certified in Cardiology,Johnson-Salazar
Nicholas Smith,Orthopedics,DO from Smith LLC,13,Board Certified in Orthopedics,Johnson-Salazar
Madison Howard,Cardiology,MD from Mcintyre LLC,25,Board Certified in Neurology,Johnson-Salazar
Michael Morgan,Cardiology,DO from Smith and Sons,28,Board Certified in Orthopedics,Johnson-Salazar
Leah Hayes,Orthopedics,"MD from Walker, Todd and Pittman",11,Board Certified in Cardiology,Alexander-Adams
Maria Black,Neurology,DO from Arnold-Benjamin,21,Board Certified in Orthopedics,Alexander-Adams
Mr. Robert Buck DDS,Neurology,MD from Brown LLC,14,Board Certified in Cardiology,Alexander-Adams
Jeffrey Johnson,Cardiology,DO from Martinez Ltd,25,Board Certified in Cardiology,Alexander-Adams
Jennifer White,Neurology,MD from Phillips LLC,1,Board Certified in Cardiology,Alexander-Adams
Louis Carter,Cardiology,MD from Burns Inc,6,Board Certified in Neurology,Alexander-Adams
Lori Knight,Orthopedics,MD from King-Chambers,10,Board Certified in Cardiology,Alexander-Adams
Colleen Davis,Orthopedics,MD from Macias Inc,9,Board Certified in Cardiology,Alexander-Adams
Richard Andrade,Cardiology,MD from Smith Ltd,16,Board Certified in Orthopedics,Alexander-Adams
Darrell Jones PhD,Orthopedics,"DO from Knox, Noble and Martin",23,Board Certified in Orthopedics,Alexander-Adams
Christine Huang,Orthopedics,"MD from Mason, Eaton and York",9,Board Certified in Neurology,Alexander-Adams
Jasmine Brown,Orthopedics,"DO from Wagner, Wilson and Mcdowell",8,Board Certified in Neurology,"Bennett, Brady and Smith"
Dr. Joseph Price,Neurology,MD from Taylor PLC,25,Board Certified in Cardiology,"Bennett, Brady and Smith"
Michael Cline,Cardiology,DO from Rojas-Reed,18,Board Certified in Orthopedics,"Bennett, Brady and Smith"
Gregory Waters,Neurology,MD from Golden-Miller,13,Board Certified in Orthopedics,"Bennett, Brady and Smith"
Deborah Marshall,Neurology,"MD from Riggs, Jones and Rodriguez",1,Board Certified in Orthopedics,"Bennett, Brady and Smith"
Misty Lopez,Cardiology,MD from Jacobs-Clark,1,Board Certified in Neurology,"Bennett, Brady and Smith"
James Giles,Cardiology,DO from Roberts-Kemp,19,Board Certified in Cardiology,Cox-Arias
Russell Coffey,Orthopedics,DO from Brewer-Campbell,14,Board Certified in Cardiology,Cox-Arias
Brooke Salas,Cardiology,MD from Adams-Humphrey,30,Board Certified in Orthopedics,Cox-Arias
Sabrina Baker,Cardiology,"DO from Nash, Nelson and Butler",24,Board Certified in Cardiology,Cox-Arias
James Alvarez,Neurology,DO from Knapp-Brown,16,Board Certified in Neurology,Cox-Arias
Travis Williams Jr.,Neurology,DO from Riley-Sparks,27,Board Certified in Orthopedics,Cox-Arias
Timothy Sullivan PhD,Neurology,"DO from Green, White and Hamilton",7,Board Certified in Neurology,Cox-Arias
James Scott,Neurology,"DO from Thomas, Conway and Palmer",22,Board Certified in Orthopedics,Cox-Arias
Joshua Johnson,Neurology,DO from Contreras-Scott,13,Board Certified in Neurology,Cox-Arias
Adam Dean,Orthopedics,"DO from Coleman, Lee and Carson",9,Board Certified in Orthopedics,Cox-Arias
Michelle Compton,Neurology,MD from Jones-Smith,1,Board Certified in Orthopedics,Cox-Arias
Samuel Huynh,Neurology,MD from Nichols-Vega,27,Board Certified in Neurology,Cox-Arias
Traci Scott,Neurology,MD from Hernandez and Sons,10,Board Certified in Cardiology,Cox-Arias
Lisa Carlson,Neurology,"MD from Knight, Allen and Ortiz",17,Board Certified in Cardiology,Cox-Arias
Rachel Escobar,Cardiology,MD from Smith-Hansen,10,Board Certified in Neurology,Cox-Arias
James Short PhD,Orthopedics,"MD from Carroll, Hernandez and Wright",18,Board Certified in Neurology,Huynh and Sons
Robert Sanford,Cardiology,DO from Montgomery PLC,28,Board Certified in Neurology,Huynh and Sons
Bruce Hanson,Orthopedics,DO from Smith-Smith,13,Board Certified in Orthopedics,Huynh and Sons
Gary Thornton,Orthopedics,"DO from Snyder, Shah and Weaver",18,Board Certified in Cardiology,Huynh and Sons
Aaron Eaton,Orthopedics,MD from Morales Ltd,23,Board Certified in Neurology,Huynh and Sons
John Gonzales,Neurology,"MD from Stevenson, Flores and Watts",17,Board Certified in Neurology,Huynh and Sons
Mark Rodriguez,Neurology,"MD from Cummings, Moore and Anderson",22,Board Certified in Orthopedics,Huynh and Sons
Andrew Stone,Neurology,"MD from Nunez, Holland and Shelton",22,Board Certified in Orthopedics,Huynh and Sons
Katherine Potter,Neurology,DO from Santiago-Walker,28,Board Certified in Cardiology,Richards-Lamb
Kelly Briggs,Neurology,MD from Winters-Johnston,10,Board Certified in Cardiology,Richards-Lamb
Christopher Bridges,Neurology,MD from Love PLC,16,Board Certified in Orthopedics,Richards-Lamb
Zachary Merritt,Cardiology,"MD from Perez, Montgomery and Evans",5,Board Certified in Cardiology,Richards-Lamb
Kelsey Lowery,Neurology,DO from Heath-Stephens,22,Board Certified in Orthopedics,Richards-Lamb
Mitchell Elliott,Cardiology,"MD from Cook, Crawford and Proctor",1,Board Certified in Orthopedics,Richards-Lamb
Terry Richard,Cardiology,DO from Roberson Inc,21,Board Certified in Orthopedics,"Hanson, Buchanan and Duffy"
Gina Brady,Neurology,"DO from Robinson, Powers and Lopez",24,Board Certified in Orthopedics,"Hanson, Buchanan and Duffy"
Andrew Garcia,Cardiology,"DO from Sanders, Martin and Mckinney",16,Board Certified in Orthopedics,"Hanson, Buchanan and Duffy"
Mr. Matthew Cummings,Cardiology,"DO from Lutz, Blanchard and Adams",23,Board Certified in Orthopedics,"Hanson, Buchanan and Duffy"
Paula Jones,Neurology,MD from Kelley LLC,10,Board Certified in Neurology,"Hanson, Buchanan and Duffy"
Donna Hansen,Neurology,DO from Bruce Ltd,14,Board Certified in Cardiology,"Hanson, Buchanan and Duffy"
Collin Harmon,Orthopedics,MD from Davis Group,27,Board Certified in Cardiology,"Hanson, Buchanan and Duffy"
Christopher Carr,Orthopedics,MD from Contreras-Sandoval,25,Board Certified in Orthopedics,"Hanson, Buchanan and Duffy"
James Johnson,Neurology,MD from Vega PLC,9,Board Certified in Cardiology,"Hanson, Buchanan and Duffy"
Michelle Hughes,Cardiology,DO from Massey-Allen,30,Board Certified in Orthopedics,"Hanson, Buchanan and Duffy"
Steven Martin,Orthopedics,MD from Browning-Smith,30,Board Certified in Cardiology,Ochoa-Ramirez
Amber Ali,Orthopedics,MD from Simpson Group,19,Board Certified in Orthopedics,Ochoa-Ramirez
Michael Chang,Cardiology,"DO from Richmond, Vasquez and Watson",9,Board Certified in Cardiology,Ochoa-Ramirez
Roger Medina,Cardiology,DO from Smith-Cooper,8,Board Certified in Orthopedics,Ochoa-Ramirez
Dakota Reilly,Neurology,DO from Shelton-Wright,23,Board Certified in Neurology,Ochoa-Ramirez
April Hall,Orthopedics,"MD from Holland, Dixon and Foster",4,Board Certified in Cardiology,Ochoa-Ramirez
Diane Hoffman,Neurology,DO from Martinez-Spencer,3,Board Certified in Cardiology,Ochoa-Ramirez
Heidi Berry,Cardiology,DO from Lee-Mendoza,5,Board Certified in Orthopedics,Ochoa-Ramirez
Allen Perkins,Orthopedics,DO from Kelley-Erickson,26,Board Certified in Cardiology,Ochoa-Ramirez
Christie Clark,Cardiology,"DO from Chaney, Vaughan and Hayes",27,Board Certified in Orthopedics,Ochoa-Ramirez
Theresa Patton,Neurology,DO from Woods Group,15,Board Certified in Orthopedics,"Bailey, Sanchez and Bruce"
Eric George,Orthopedics,DO from Rivas PLC,16,Board Certified in Cardiology,"Bailey, Sanchez and Bruce"
Kristina Long,Orthopedics,MD from Salinas-Miller,16,Board Certified in Neurology,"Bailey, Sanchez and Bruce"
Jaime Gross,Orthopedics,MD from Klein-Baldwin,16,Board Certified in Cardiology,"Bailey, Sanchez and Bruce"
Janet Obrien,Cardiology,DO from Adams-Garcia,5,Board Certified in Cardiology,"Bailey, Sanchez and Bruce"
Gary Forbes,Orthopedics,"MD from Carter, Vargas and Lewis",24,Board Certified in Orthopedics,"Bailey, Sanchez and Bruce"
Alicia Leblanc,Cardiology,MD from Gibson-Burns,16,Board Certified in Orthopedics,"Bailey, Sanchez and Bruce"
Justin Hoffman,Neurology,MD from Kelly Ltd,7,Board Certified in Orthopedics,"Bailey, Sanchez and Bruce"
Robert Nichols,Neurology,DO from Reyes-Valencia,19,Board Certified in Orthopedics,"Bailey, Sanchez and Bruce"
